Corpus,Document variant,Query format,Configuration,Nominal tier,Max tokens,Baseline MRR@10,Corrected MRR@10,dMRR@10,nominal subgroup,measured sign,retains assignment
er_reason,full512,nl,ClinicalBERT,2,512,0.1862,0.2486,0.0624,benefited,positive,yes
er_reason,full512,nl,E5-Mistral-7B,2,512,0.5641,0.4659,-0.0982,benefited,negative,no
er_reason,full512,nl,E5-Mistral-7B-ablation,2,512,0.4545,0.7133,0.2589,benefited,positive,yes
er_reason,full512,nl,Phi-3-mini,2,512,0.2549,0.6099,0.355,benefited,positive,yes
mimic_discharge,full512,keyword,BGE-base,1,512,0.7928,0.6622,-0.1306,harmed,negative,yes
mimic_discharge,full512,keyword,BioLORD-2023,1,512,0.6183,0.4431,-0.1752,harmed,negative,yes
mimic_discharge,full512,keyword,GTE-base,1,512,0.826,0.7332,-0.0929,harmed,negative,yes
mimic_discharge,full512,keyword,MedCPT,1,512,0.7758,0.6014,-0.1744,harmed,negative,yes
mimic_discharge,full512,keyword,Nomic-embed-text,1,512,0.7446,0.7072,-0.0375,harmed,negative,yes
mimic_discharge,full512,keyword,Nomic-embed-text-nopfx,1,512,0.7355,0.637,-0.0985,harmed,negative,yes
mimic_discharge,full512,keyword,BERT-base-uncased,2,512,0.1182,0.2007,0.0826,benefited,positive,yes
mimic_discharge,full512,keyword,BioBERT,2,512,0.1732,0.2559,0.0827,benefited,positive,yes
mimic_discharge,full512,keyword,BioMistral-7B,2,512,0.2684,0.2985,0.0302,benefited,positive,yes
mimic_discharge,full512,keyword,ClinicalBERT,2,512,0.2714,0.3629,0.0915,benefited,positive,yes
mimic_discharge,full512,keyword,E5-Mistral-7B,2,512,0.5371,0.4305,-0.1065,benefited,negative,no
mimic_discharge,full512,keyword,E5-Mistral-7B-ablation,2,512,0.4671,0.512,0.0449,benefited,positive,yes
mimic_discharge,full512,keyword,Phi-3-mini,2,512,0.3155,0.4927,0.1773,benefited,positive,yes
mimic_discharge,full512,nl,BGE-base,1,512,0.8715,0.6736,-0.1979,harmed,negative,yes
mimic_discharge,full512,nl,BioLORD-2023,1,512,0.7321,0.4644,-0.2677,harmed,negative,yes
mimic_discharge,full512,nl,GTE-base,1,512,0.8737,0.7479,-0.1258,harmed,negative,yes
mimic_discharge,full512,nl,MedCPT,1,512,0.6996,0.4858,-0.2138,harmed,negative,yes
mimic_discharge,full512,nl,Nomic-embed-text,1,512,0.7972,0.6773,-0.1199,harmed,negative,yes
mimic_discharge,full512,nl,Nomic-embed-text-nopfx,1,512,0.7952,0.5895,-0.2057,harmed,negative,yes
mimic_discharge,full512,nl,BERT-base-uncased,2,512,0.092,0.1384,0.0464,benefited,positive,yes
mimic_discharge,full512,nl,BioBERT,2,512,0.0938,0.1714,0.0777,benefited,positive,yes
mimic_discharge,full512,nl,BioMistral-7B,2,512,0.1289,0.208,0.079,benefited,positive,yes
mimic_discharge,full512,nl,ClinicalBERT,2,512,0.1637,0.2561,0.0924,benefited,positive,yes
mimic_discharge,full512,nl,E5-Mistral-7B,2,512,0.4947,0.3516,-0.1431,benefited,negative,no
mimic_discharge,full512,nl,E5-Mistral-7B-ablation,2,512,0.4637,0.443,-0.0207,benefited,negative,no
mimic_discharge,full512,nl,Phi-3-mini,2,512,0.2797,0.3816,0.102,benefited,positive,yes
er_reason,hpi,keyword,BGE-base,1,512,0.7422,0.6469,-0.0954,harmed,negative,yes
er_reason,hpi,keyword,BioLORD-2023,1,512,0.5553,0.4237,-0.1315,harmed,negative,yes
er_reason,hpi,keyword,GTE-base,1,512,0.7573,0.671,-0.0863,harmed,negative,yes
er_reason,hpi,keyword,MedCPT,1,512,0.6883,0.4721,-0.2162,harmed,negative,yes
er_reason,hpi,keyword,Nomic-embed-text,1,512,0.7361,0.6403,-0.0958,harmed,negative,yes
er_reason,hpi,keyword,Nomic-embed-text-nopfx,1,512,0.6726,0.5637,-0.1089,harmed,negative,yes
er_reason,hpi,keyword,BERT-base-uncased,2,512,0.119,0.2204,0.1014,benefited,positive,yes
er_reason,hpi,keyword,BioBERT,2,512,0.1716,0.3522,0.1806,benefited,positive,yes
er_reason,hpi,keyword,BioMistral-7B,2,2048,0.1477,0.259,0.1113,benefited,positive,yes
er_reason,hpi,keyword,ClinicalBERT,2,512,0.1787,0.3282,0.1495,benefited,positive,yes
er_reason,hpi,keyword,E5-Mistral-7B,2,4096,0.0996,0.1874,0.0877,benefited,positive,yes
er_reason,hpi,keyword,E5-Mistral-7B-ablation,2,4096,0.3821,0.5567,0.1746,benefited,positive,yes
er_reason,hpi,keyword,Phi-3-mini,2,4096,0.2098,0.4714,0.2617,benefited,positive,yes
er_reason,hpi,nl,BGE-base,1,512,0.8174,0.6765,-0.141,harmed,negative,yes
er_reason,hpi,nl,BioLORD-2023,1,512,0.6635,0.4564,-0.2071,harmed,negative,yes
er_reason,hpi,nl,GTE-base,1,512,0.8109,0.7183,-0.0925,harmed,negative,yes
er_reason,hpi,nl,MedCPT,1,512,0.5796,0.4244,-0.1552,harmed,negative,yes
er_reason,hpi,nl,Nomic-embed-text,1,512,0.8062,0.7277,-0.0785,harmed,negative,yes
er_reason,hpi,nl,Nomic-embed-text-nopfx,1,512,0.7193,0.4922,-0.227,harmed,negative,yes
er_reason,hpi,nl,BERT-base-uncased,2,512,0.066,0.1526,0.0866,benefited,positive,yes
er_reason,hpi,nl,BioBERT,2,512,0.0799,0.2507,0.1708,benefited,positive,yes
er_reason,hpi,nl,BioMistral-7B,2,2048,0.1487,0.3628,0.2141,benefited,positive,yes
er_reason,hpi,nl,ClinicalBERT,2,512,0.1752,0.2621,0.0869,benefited,positive,yes
er_reason,hpi,nl,E5-Mistral-7B,2,4096,0.1009,0.1512,0.0504,benefited,positive,yes
er_reason,hpi,nl,E5-Mistral-7B-ablation,2,4096,0.4497,0.6227,0.173,benefited,positive,yes
er_reason,hpi,nl,Phi-3-mini,2,4096,0.2976,0.5293,0.2317,benefited,positive,yes
mimic_discharge,hpi,keyword,BGE-base,1,512,0.7973,0.7669,-0.0303,harmed,negative,yes
mimic_discharge,hpi,keyword,BioLORD-2023,1,512,0.6002,0.5435,-0.0568,harmed,negative,yes
mimic_discharge,hpi,keyword,GTE-base,1,512,0.825,0.7716,-0.0534,harmed,negative,yes
mimic_discharge,hpi,keyword,MedCPT,1,512,0.6744,0.6179,-0.0565,harmed,negative,yes
mimic_discharge,hpi,keyword,Nomic-embed-text,1,512,0.764,0.6787,-0.0854,harmed,negative,yes
mimic_discharge,hpi,keyword,Nomic-embed-text-nopfx,1,512,0.742,0.6913,-0.0507,harmed,negative,yes
mimic_discharge,hpi,keyword,BERT-base-uncased,2,512,0.1066,0.2,0.0934,benefited,positive,yes
mimic_discharge,hpi,keyword,BioBERT,2,512,0.1599,0.3405,0.1807,benefited,positive,yes
mimic_discharge,hpi,keyword,BioMistral-7B,2,2048,0.1938,0.3723,0.1785,benefited,positive,yes
mimic_discharge,hpi,keyword,ClinicalBERT,2,512,0.1853,0.2997,0.1145,benefited,positive,yes
mimic_discharge,hpi,keyword,E5-Mistral-7B,2,4096,0.0503,0.1819,0.1316,benefited,positive,yes
mimic_discharge,hpi,keyword,E5-Mistral-7B-ablation,2,4096,0.3764,0.5461,0.1697,benefited,positive,yes
mimic_discharge,hpi,keyword,Phi-3-mini,2,4096,0.2706,0.474,0.2034,benefited,positive,yes
mimic_discharge,hpi,nl,BGE-base,1,512,0.8161,0.7555,-0.0607,harmed,negative,yes
mimic_discharge,hpi,nl,BioLORD-2023,1,512,0.6458,0.5587,-0.0871,harmed,negative,yes
mimic_discharge,hpi,nl,GTE-base,1,512,0.859,0.7881,-0.0709,harmed,negative,yes
mimic_discharge,hpi,nl,MedCPT,1,512,0.4938,0.4245,-0.0693,harmed,negative,yes
mimic_discharge,hpi,nl,Nomic-embed-text,1,512,0.7764,0.6945,-0.0819,harmed,negative,yes
mimic_discharge,hpi,nl,Nomic-embed-text-nopfx,1,512,0.7281,0.6436,-0.0845,harmed,negative,yes
mimic_discharge,hpi,nl,BERT-base-uncased,2,512,0.12,0.144,0.024,benefited,positive,yes
mimic_discharge,hpi,nl,BioBERT,2,512,0.1257,0.2585,0.1328,benefited,positive,yes
mimic_discharge,hpi,nl,BioMistral-7B,2,2048,0.2497,0.3804,0.1307,benefited,positive,yes
mimic_discharge,hpi,nl,ClinicalBERT,2,512,0.1609,0.2486,0.0877,benefited,positive,yes
mimic_discharge,hpi,nl,E5-Mistral-7B,2,4096,0.0932,0.1264,0.0332,benefited,positive,yes
mimic_discharge,hpi,nl,E5-Mistral-7B-ablation,2,4096,0.4095,0.6837,0.2741,benefited,positive,yes
mimic_discharge,hpi,nl,Phi-3-mini,2,4096,0.3071,0.446,0.1389,benefited,positive,yes
